จังหวัด,อำเภอ,ตำบล,code,หมายเหตุ
กรุงเทพมหานคร,เขตพระนคร,พระบรมมหาราชวัง,10200,
กรุงเทพมหานคร,เขตพระนคร,วังบูรพาภิรมย์,10200,
กรุงเทพมหานคร,เขตพระนคร,วัดราชบพิธ,10200,
กรุงเทพมหานคร,เขตพระนคร,สำราญราษฎร์,10200,
กรุงเทพมหานคร,เขตพระนคร,ศาลเจ้าพ่อเสือ,10200,
กรุงเทพมหานคร,เขตพระนคร,เสาชิงช้า,10200,
กรุงเทพมหานคร,เขตพระนคร,บวรนิเวศ,10200,
กรุงเทพมหานคร,เขตพระนคร,ตลาดยอด,10200,
กรุงเทพมหานคร,เขตพระนคร,ชนะสงคราม,10200,
กรุงเทพมหานคร,เขตพระนคร,บ้านพานถม,10200,
กรุงเทพมหานคร,เขตพระนคร,บางขุนพรหม,10200,
กรุงเทพมหานคร,เขตพระนคร,วัดสามพระยา,10200,
กรุงเทพมหานคร,เขตดุสิต,ดุสิต,10300,
กรุงเทพมหานคร,เขตดุสิต,วชิรพยาบาล,10300,
กรุงเทพมหานคร,เขตดุสิต,สวนจิตรลดา,10300,ยกเว้น พระราชวังดุสิต สวนจิตรลดา ใช้รหัสไปรษณีย์ 10303
กรุงเทพมหานคร,เขตดุสิต,สี่แยกมหานาค,10300,
กรุงเทพมหานคร,เขตดุสิต,ถนนนครไชยศรี,10300,
กรุงเทพมหานคร,เขตหนองจอก,กระทุ่มราย,10530,
กรุงเทพมหานคร,เขตหนองจอก,หนองจอก,10530,
กรุงเทพมหานคร,เขตหนองจอก,คลองสิบ,10530,
กรุงเทพมหานคร,เขตหนองจอก,คลองสิบสอง,10530,
กรุงเทพมหานคร,เขตหนองจอก,โคกแฝด,10530,
กรุงเทพมหานคร,เขตหนองจอก,คู้ฝั่งเหนือ,10530,
กรุงเทพมหานคร,เขตหนองจอก,ลำผักชี,10530,
กรุงเทพมหานคร,เขตหนองจอก,ลำต้อยติ่ง,10530,
กรุงเทพมหานคร,เขตบางรัก,มหาพฤฒาราม,10500,
กรุงเทพมหานคร,เขตบางรัก,สีลม,10500,
กรุงเทพมหานคร,เขตบางรัก,สุริยวงศ์,10500,
กรุงเทพมหานคร,เขตบางรัก,บางรัก,10500,ยกเว้น หน่วยงานของ ปณท ที่ตั้งในบริเวณ ไปรษณีย์กลาง ใช้รหัสไปรษณีย์ 10501
กรุงเทพมหานคร,เขตบางรัก,สี่พระยา,10500,
กรุงเทพมหานคร,เขตบางเขน,อนุสาวรีย์,10220,
กรุงเทพมหานคร,เขตบางเขน,ท่าแร้ง,10220,ยกเว้น หมู่ 8-10 ท่าแร้ง ใช้รหัสไปรษณีย์ 10230
กรุงเทพมหานคร,เขตบางกะปิ,คลองจั่น,10240,ยกเว้น หมู่บ้านเสรี ใช้รหัสไปรษณีย์ 10250
กรุงเทพมหานคร,เขตบางกะปิ,หัวหมาก,10240,
กรุงเทพมหานคร,เขตปทุมวัน,รองเมือง,10330,
กรุงเทพมหานคร,เขตปทุมวัน,วังใหม่,10330,
กรุงเทพมหานคร,เขตปทุมวัน,ปทุมวัน,10330,
กรุงเทพมหานคร,เขตปทุมวัน,ลุมพินี,10330,
กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,ป้อมปราบ,10100,
กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,10100,
กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,คลองมหานาค,10100,
กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,บ้านบาตร,10100,
กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,วัดโสมนัส,10100,
